seeds: [862559, 454354, 737532, 275105, 523498], arguments: (env_name='space_invaders', lr=0.0002, epoch=1500, batch_size=32, eval_cycle=25, transitions=2500, episodes=2500, VQVAE_cycle=1, MDP_cycle=750, max_iterations=375, initial_iterations=12000, warmup=25000, min_visits=5, num_envs=6, debug=False)
Epoch: 28, Duration: 15.5395, Steps done w/o warmup: 72558, Epsilon: 63.57%, Codebook usage: 16 / 16, Transitions known: 1.08%, Usage penalty: 0.834837794303894, Entropy bonus: -0.4940536916255951
Epoch: 29, Duration: 17.1892, Steps done w/o warmup: 75060, Epsilon: 62.60%, Codebook usage: 16 / 16, Transitions known: 1.08%, Usage penalty: 1.036726951599121, Entropy bonus: -0.4894128739833832
Epoch: 30, Duration: 16.3571, Steps done w/o warmup: 77562, Epsilon: 61.65%, Codebook usage: 16 / 16, Transitions known: 1.19%, Usage penalty: 0.8846821188926697, Entropy bonus: -0.49776870012283325
Epoch: 31, Duration: 16.7934, Steps done w/o warmup: 80064, Epsilon: 60.71%, Codebook usage: 16 / 16, Transitions known: 1.19%, Usage penalty: 0.961196780204773, Entropy bonus: -0.49118342995643616
Epoch: 32, Duration: 20.9909, Steps done w/o warmup: 82566, Epsilon: 59.79%, Codebook usage: 16 / 16, Transitions known: 1.19%, Usage penalty: 1.0861784219741821, Entropy bonus: -0.48776552081108093
Epoch: 33, Duration: 18.9771, Steps done w/o warmup: 85068, Epsilon: 58.88%, Codebook usage: 16 / 16, Transitions known: 1.19%, Usage penalty: 0.7506664991378784, Entropy bonus: -0.49977073073387146
Epoch: 34, Duration: 17.6406, Steps done w/o warmup: 87570, Epsilon: 57.99%, Codebook usage: 16 / 16, Transitions known: 1.19%, Usage penalty: 0.699636697769165, Entropy bonus: -0.5008319616317749
Epoch: 35, Duration: 17.4284, Steps done w/o warmup: 90072, Epsilon: 57.11%, Codebook usage: 16 / 16, Transitions known: 1.19%, Usage penalty: 0.7346628904342651, Entropy bonus: -0.4978342652320862
Epoch: 36, Duration: 16.6810, Steps done w/o warmup: 92574, Epsilon: 56.25%, Codebook usage: 16 / 16, Transitions known: 1.19%, Usage penalty: 0.8138523697853088, Entropy bonus: -0.4964589774608612
Epoch: 37, Duration: 17.6212, Steps done w/o warmup: 95076, Epsilon: 55.40%, Codebook usage: 16 / 16, Transitions known: 1.30%, Usage penalty: 0.9705386161804199, Entropy bonus: -0.49008044600486755
Epoch: 38, Duration: 16.4876, Steps done w/o warmup: 97578, Epsilon: 54.57%, Codebook usage: 16 / 16, Transitions known: 1.30%, Usage penalty: 0.7803863883018494, Entropy bonus: -0.4986146092414856
Epoch: 39, Duration: 16.7144, Steps done w/o warmup: 100080, Epsilon: 53.75%, Codebook usage: 16 / 16, Transitions known: 1.30%, Usage penalty: 0.7135961055755615, Entropy bonus: -0.4973185658454895
