seeds: [862559, 454354, 737532, 275105, 523498], arguments: (env_name='pong', lr=0.0002, epoch=1500, batch_size=32, eval_cycle=25, transitions=2500, episodes=2500, VQVAE_cycle=1, MDP_cycle=750, max_iterations=375, initial_iterations=12000, warmup=25000, min_visits=5, num_envs=6, debug=False)
Epoch: 29, Duration: 17.9951, Steps done w/o warmup: 75060, Epsilon: 62.60%, Codebook usage: 13 / 16, Transitions known: 31.58%, Usage penalty: 7.141651153564453, Entropy bonus: -0.39370614290237427
Epoch: 30, Duration: 16.1670, Steps done w/o warmup: 77562, Epsilon: 61.65%, Codebook usage: 13 / 16, Transitions known: 31.58%, Usage penalty: 6.946774482727051, Entropy bonus: -0.4019014835357666
Epoch: 31, Duration: 18.0033, Steps done w/o warmup: 80064, Epsilon: 60.71%, Codebook usage: 13 / 16, Transitions known: 31.58%, Usage penalty: 8.548893928527832, Entropy bonus: -0.3892837464809418
Epoch: 32, Duration: 16.6283, Steps done w/o warmup: 82566, Epsilon: 59.79%, Codebook usage: 13 / 16, Transitions known: 31.58%, Usage penalty: 8.507963180541992, Entropy bonus: -0.3851902484893799
Epoch: 33, Duration: 18.1251, Steps done w/o warmup: 85068, Epsilon: 58.88%, Codebook usage: 13 / 16, Transitions known: 31.58%, Usage penalty: 8.679234504699707, Entropy bonus: -0.38081488013267517
Epoch: 34, Duration: 16.3742, Steps done w/o warmup: 87570, Epsilon: 57.99%, Codebook usage: 13 / 16, Transitions known: 31.58%, Usage penalty: 7.205506324768066, Entropy bonus: -0.38022080063819885
Epoch: 35, Duration: 16.6314, Steps done w/o warmup: 90072, Epsilon: 57.11%, Codebook usage: 13 / 16, Transitions known: 33.33%, Usage penalty: 7.13934326171875, Entropy bonus: -0.37970802187919617
Epoch: 36, Duration: 17.8275, Steps done w/o warmup: 92574, Epsilon: 56.25%, Codebook usage: 13 / 16, Transitions known: 33.33%, Usage penalty: 8.60124397277832, Entropy bonus: -0.3831392526626587
Epoch: 37, Duration: 16.8814, Steps done w/o warmup: 95076, Epsilon: 55.40%, Codebook usage: 13 / 16, Transitions known: 33.33%, Usage penalty: 8.628915786743164, Entropy bonus: -0.3763200044631958
Epoch: 38, Duration: 18.1121, Steps done w/o warmup: 97578, Epsilon: 54.57%, Codebook usage: 13 / 16, Transitions known: 33.33%, Usage penalty: 8.659187316894531, Entropy bonus: -0.37438079714775085
